Country Name,2019 [YR2019]_econ,2020 [YR2020]_econ,2021 [YR2021]_econ,2022 [YR2022]_econ,2023 [YR2023]_econ,2019 [YR2019]_gov,2020 [YR2020]_gov,2021 [YR2021]_gov,2022 [YR2022]_gov,2023 [YR2023]_gov
Eswatini,0.000520603972685728,0.0003334679241969494,0.00030696702075464334,0.0010450880944446266,0.009497512211217952,0.1877210224293463,0.1901505893200044,0.1690798946594973,0.16424438154269894,0.1609484380986249
Ethiopia,0.000520695296894389,0.0003333327323142181,0.0003070804354557539,0.0010456416568912887,0.009497827439866659,0.16362522529033294,0.16377180025451335,0.15204405773379973,0.14655667064727226,0.1457498789690361
Fiji,0.0005200308275655851,0.0003328931952187424,0.00030653108200302424,0.0010448011908253208,0.009497048517657179,0.34544438787719384,0.3279767741579483,0.32832041200663437,0.32689959346404485,0.332191341933371
Finland,0.0005307517123871901,0.00034168374897803954,0.0003140430074132021,0.0010530203261598045,0.009506241864567638,0.5026261049926892,0.5047722378406434,0.506919794225507,0.4995525134968194,0.4946777320038757
France,0.0006069718597173429,0.00039663748199462377,0.0003730711348911668,0.0011175432391408635,0.009593909431438832,0.4440714982248636,0.4297167443689162,0.43693638412094704,0.43322537120768656,0.43335977842398177
Gabon,0.0005204163823700745,0.0003331693163381881,0.000306745422621542,0.0010450793503822178,0.00949735963141872,0.15725634691366255,0.1603398760901616,0.16841652426251577,0.17091667972157065,0.15579171273679562
"Gambia, The",0.0005209535259590219,0.00033410300652396354,0.0003079548692525137,0.0010462690014117124,0.009498939860893289,0.21819253631254587,0.21705545390540312,0.21558252405820436,0.22531021635169318,0.23058528954403246
Georgia,0.000520432320769026,0.00033309312818115375,0.00030665540084726984,0.001045268408179534,0.009497638216518658,0.34222255471695795,0.3355114371082218,0.3303532351467713,0.33032846115087894,0.3359322705178742
Germany,0.0006594745721274776,0.0004355002142623985,0.00041822717158179534,0.0011793095424126733,0.009653089087870407,0.47602425092266276,0.4718376105797909,0.47622984352728387,0.4704528933689008,0.46973323860623045
Ghana,0.0005229389837030148,0.00033481104182866994,0.00030791524723032174,0.0010453359628944065,0.009499771405197432,0.2951648710277616,0.2942591672612965,0.2864248969521607,0.28172179720196777,0.28716445584664974
Greece,0.0005287653325187108,0.000338946275554451,0.0003141759093403879,0.0010531130337579659,0.009507543429614365,0.34170670499216926,0.3471841136378435,0.3468427294835402,0.34527416295060104,0.3462692437503426
Grenada,0.000519942554660455,0.00033284067255567656,0.0003064222900753257,0.0010446954410880003,0.009496941505344846,0.3265282754111489,0.3383402133340027,0.3581462894557743,0.36072351183245865,0.3614804174746217
Guatemala,0.0005276276877524759,0.0003410188889925691,0.0003152332028289604,0.0010543712253821974,0.009509151276614182,0.1721112347435672,0.17254063204032014,0.16623831774461267,0.16493272252358265,0.1693799753791454
Guinea,0.0005203342632093658,0.0003331040423996789,0.0003069227586014394,0.0010452170446586485,0.009497600156960918,0.13676493760365482,0.1319382249829832,0.1264109527625545,0.12600727886229543,0.1265346012977755
Guinea-Bissau,0.0005368695508177193,0.0003498720680370109,0.0003267449903133771,0.0010636970098693627,0.009517125102391654,0.10833751004289408,0.10892500991462274,0.12435723135634386,0.11884264033373475,0.1253726167239836
Guyana,0.0005451217051021458,0.0003571988889219406,0.0003288936654794929,0.001072850645926751,0.009534598944632247,0.23488886173156584,0.23466825881726283,0.2426494423620245,0.24595063829179825,0.23401223843431934
Haiti,0.000534749008584143,0.0003431199245353852,0.0003194978002739918,0.0010628854487062008,0.009520260369426162,0.10297786660682134,0.09817072595050436,0.0879617510528125,0.07754903720175728,0.07977046470472252
Honduras,0.0005286810517970553,0.0003417937390954837,0.00031490840224587433,0.0010542593906664175,0.009506189408494226,0.16671038871539368,0.16715342657006615,0.1567062312606738,0.1617134756490676,0.16282643347704445
"Hong Kong SAR, China",0.0011102851572804783,0.0008237302793662002,0.0008012143552000822,0.0016247625884953847,0.010213285980964581,0.41925247823989104,0.41845817916174216,0.41376467805369843,0.4184022311604481,0.42583198840443054
Hungary,0.0012557525005826538,0.001016231617376915,0.0009617177050759237,0.0017515443895667938,0.010520709050578562,0.36330169749700186,0.36127518581539,0.36155144451262794,0.3480914886013512,0.34883822171893814
